,product_id,category,animal,size,price,sales,rating,repeat_purchase
0,1,Food,Bird,large,51.1,1860.62,7.0,Y
1,2,Housing,Bird,medium,35.98,963.6,6.0,N
2,3,Food,Dog,medium,31.23,898.3,5.0,Y
3,4,Medicine,Cat,small,24.95,982.15,6.0,Y
4,5,Housing,Cat,small,26.18,832.63,7.0,Y
5,6,Housing,Dog,small,30.77,874.58,7.0,N
6,7,Housing,Dog,small,31.04,875.07,5.0,N
7,8,Toys,Cat,medium,28.9,1074.31,4.0,N
8,9,Equipment,Fish,medium,17.82,503.67,5.0,N
9,10,Medicine,Dog,medium,24.93,838.88,8.0,N
10,11,Food,Dog,large,40.87,1457.22,7.0,Y
11,12,Medicine,Bird,medium,34.96,1204.6,5.0,Y
12,13,Food,Dog,medium,31.07,889.73,4.0,N
13,14,Food,Dog,large,40.8,1450.5,6.0,Y
14,15,Accessory,Bird,medium,33.13,859.29,4.0,Y
15,16,Accessory,Bird,large,43.09,1418.72,1.0,Y
16,17,Equipment,Cat,small,28.29,1040.51,5.0,Y
17,18,Toys,Bird,medium,43.91,1521.51,3.0,Y
18,19,Toys,Cat,small,33.87,1333.9,6.0,N
19,20,Toys,Dog,large,44.0,1792.63,7.0,Y
20,21,Food,Fish,medium,28.064999999999998,542.06,0.0,N
21,22,Food,Dog,large,41.0,1456.58,3.0,N
22,23,unknown,Bird,medium,32.98,859.94,3.0,N
23,24,Equipment,Cat,medium,22.99,790.26,4.0,N
24,25,Toys,Dog,small,38.99,1410.66,3.0,N
25,26,Housing,Bird,large,45.83,1551.24,4.0,Y
26,27,Equipment,Cat,small,28.24,1046.0,4.0,N
27,28,Equipment,Cat,small,28.19,1036.72,5.0,Y
28,29,Equipment,Cat,small,27.79,1031.11,7.0,Y
29,30,Toys,Dog,small,38.86,1405.4,5.0,Y
30,31,Equipment,Fish,small,22.89,706.94,3.0,Y
31,32,Housing,Cat,small,26.07,830.8,7.0,N
32,33,Equipment,Cat,small,28.02,1027.95,6.0,N
33,34,Toys,Fish,medium,23.99,743.83,5.0,N
34,35,Equipment,Cat,small,28.25,1039.58,6.0,Y
35,36,Food,Dog,medium,30.87,879.37,4.0,Y
36,37,Equipment,Cat,small,28.09,1034.96,7.0,Y
37,38,Toys,Fish,small,29.01,966.05,2.0,N
38,39,Housing,Fish,large,26.13,783.84,6.0,Y
39,40,Toys,Bird,large,54.03,2248.63,5.0,N
40,41,Food,Cat,small,31.2,1074.63,3.0,Y
41,42,Food,Cat,small,30.92,1064.79,7.0,N
42,43,Housing,Cat,medium,20.95,615.07,5.0,Y
43,44,Equipment,Fish,medium,17.98,506.75,3.0,Y
44,45,Medicine,Bird,medium,28.064999999999998,1209.41,0.0,N
45,46,Accessory,Dog,large,32.98,1063.91,5.0,Y
46,47,Toys,Cat,small,28.064999999999998,1367.47,0.0,Y
47,48,Equipment,Cat,small,27.7,1022.95,8.0,N
48,49,Medicine,Cat,small,24.8,978.64,6.0,Y
49,50,Food,Cat,small,31.2,1074.1,6.0,N
50,51,Food,Cat,small,31.09,1071.72,6.0,N
51,52,Medicine,Fish,small,19.83,658.66,7.0,Y
52,53,Accessory,Dog,large,33.15,1068.44,7.0,N
53,54,Food,Fish,medium,21.25,548.05,4.0,N
54,55,Equipment,Dog,large,38.06,1449.87,5.0,Y
55,56,Food,Cat,small,30.89,1059.94,6.0,N
56,57,Medicine,Dog,large,35.04,1424.02,6.0,Y
57,58,Housing,Dog,medium,26.03,678.99,3.0,N
58,59,Toys,Dog,medium,33.94,1152.57,6.0,N
59,60,Housing,Cat,small,25.81,814.06,3.0,N
60,61,Accessory,Dog,large,32.99,1068.83,4.0,Y
61,62,Equipment,Fish,medium,17.9,506.2,3.0,Y
62,63,Food,Fish,large,30.96,1016.49,5.0,N
63,64,Food,Dog,large,40.93,1459.08,3.0,N
64,65,Medicine,Dog,medium,24.98,836.05,5.0,Y
65,66,Housing,Cat,small,26.08,831.86,4.0,Y
66,67,Equipment,Fish,small,23.08,710.55,5.0,N
67,68,Housing,Dog,medium,26.0,675.06,3.0,Y
68,69,Equipment,Cat,medium,22.95,790.28,6.0,N
69,70,Toys,Dog,small,39.03,1411.58,6.0,N
70,71,Equipment,Dog,large,28.064999999999998,1446.43,0.0,N
71,72,Medicine,Bird,medium,34.96,1207.21,6.0,Y
72,73,unknown,Dog,small,33.13,1101.89,4.0,N
73,74,Food,Bird,large,28.064999999999998,1864.01,0.0,N
74,75,Equipment,Fish,small,23.19,706.38,6.0,Y
75,76,Food,Fish,large,31.0,1023.95,6.0,Y
